Attachment URL,ID,Title,Description,Status,Address,Location,Zip Code,Date Created,Num Of Comments,Num Of Followers,Num Of Supporters,Latitude,Longitude,Rank,User
https://d17aqltn7cihbm.cloudfront.net/uploads/658cd30251791eee15f13c2f88431aaa,4933221,Broken Sidewalk,sidewalk sink hole,in progress,845  Bloomfield St,,,1538492521,4,1,1,40.7472791,-74.0285881,1,1
https://d17aqltn7cihbm.cloudfront.net/uploads/5b6699860324c41d9ce5818f4297f039,4622831,Trees on Sidewalks,Three dead trees,completed,1000  Jefferson St,"Hoboken, New Jersey",7030,1533250609,2,3,3,40.750296,-74.03474,1,2
https://d17aqltn7cihbm.cloudfront.net/uploads/ab495f14eafa3470042254136d002178,4524755,Trees on Sidewalks,Tree branches are touching 211 madison Street building. Please trim back. The issue was submitted over a month ago and was not addressed though the work is noted as complete. Thanks.,completed,211  Madison St,"Hoboken, New Jersey",7030,1531831796,1,0,0,40.740576,-74.038447,1,3
https://d17aqltn7cihbm.cloudfront.net/uploads/adb523c1d6eb6ecf2da363f01d0f790a,4508958,Trees on Sidewalks,Dead tree needs to be replaced. Whose responsibility is this?,completed,716-32  Madison St,"Hoboken, New Jersey",7030,1531499458,1,0,0,40.747372,-74.036788,1,2
https://d17aqltn7cihbm.cloudfront.net/uploads/ef2cab36c5b850a979624e6d9e81ba07,4399949,Trees on Sidewalks,Dead trees,completed,651  2nd St,,,1529790058,1,0,0,40.74053543,-74.04081948,1,4
NA,418328,Street Light or Lamp,The entire globe is broken. The lamp post needs a new top.,completed,501-549  11th Street,"Hoboken, New Jersey",7030,1405526137,3,1,1,40.75108,-74.035444,1,5
https://d17aqltn7cihbm.cloudfront.net/uploads/6ce5915632c7f7695983d1d2ffdab9e5,415062,Benches - Parks,U. Cut grass in Park,completed,917-1099  Hudson Street,"Hoboken, New Jersey",7030,1405268346,1,1,1,40.74871,-74.026046,1,6
NA,414758,Benches - Parks,Trees in park are being strangled by tie downs! This will kill the trees if not removed.,completed,751–999  Sinatra Dr,"Hoboken, New Jersey",7030,1405171785,2,1,1,40.748787,-74.023134,1,7
https://d17aqltn7cihbm.cloudfront.net/uploads/3cf3e873adb29612f8b2a1c48da3cd3c,411656,Landscaping and Trees in Parks,Tree pit overgrown with weeds.,completed,43  Newark St,"Hoboken, New Jersey",7030,1404917064,1,1,1,40.736612,-74.029842,1,7
https://d17aqltn7cihbm.cloudfront.net/uploads/aca48960aca85355e83aeef602cfd45d,411655,Landscaping and Trees in Parks,Weeds in new tree pits up and down Washington St.,completed,115  Washington St,"Hoboken, New Jersey",7030,1404917009,1,1,1,40.737903,-74.030575,1,7
