Attachment URL,ID,Title,Description,Status,Address,Location,Zip Code,Date Created,Num Of Comments,Num Of Followers,Num Of Supporters,Latitude,Longitude,Rank,User
NA,915216,Illegal Parking,unregistered for months,submitted,"1382 Dumont Ave, Brooklyn, NY 11208, USA","New York City, NY",10019,1517065554,0,1,1,40.670147,-73.866584,1,Anonymous
NA,915215,Broken/ Open manhole,Manhole cover and rim are broken into pieces and hole is open in the middle of the crosswalk.,submitted,"3065 Nostrand Ave, Brooklyn, NY 11229, USA","New York City, NY",10019,1510982515,0,1,1,40.609737,-73.943617,1,Anonymous
NA,915207,PAINT AND WATER,"the paint and water is all coming down and I given complaint to housing and they still haven't fixed at all the fireman been here because of the water coming down from the apartment upstairs. 
Martha Feliciano  
525 Jackson, ave. #14F
Bronx ,NY 10455",submitted,"525 Jackson Ave, Bronx, NY 10455, USA","New York City, NY",10019,1495497171,0,1,1,40.812643,-73.909484,1,Anonymous
NA,915206,Dangerous Condition,Unsafe working conditions for construction workers on jobsite. Need OSHA to check job,submitted,50-51 98th St,"New York City, NY",11368,1489934676,0,1,1,40.741231,-73.863601,1,Anonymous
NA,915205,Dangerous Condition,Unsafe working conditions for construction workers on jobsite. Need OSHA to check job,submitted,50-51 98th St,"New York City, NY",11368,1489934649,0,1,1,40.741231,-73.863601,1,Anonymous
NA,915203,Broken Streetlight,Traffic light and cross walk lights are out at the intersection of E. 18th and Cortelyou rd.,submitted,276–358 E 18th St,"New York City, NY",11226,1486922120,0,1,1,40.642434,-73.961734,1,Anonymous
NA,915202,Pothole,,submitted,"95-11 Cross Bay Pkwy, Far Rockaway, NY 11694, USA","New York City, NY",10019,1484792412,0,1,1,40.586239,-73.817619,1,Anonymous
NA,915201,Pothole,,submitted,"2-14 Beach 96th St, Rockaway Beach, NY 11693, USA","New York City, NY",10019,1484792326,0,1,1,40.585777,-73.818203,1,Anonymous
NA,915200,Litter,Dog owner at 170 Beach 123rd Street 11694 lets his dog crap on every neighbors lawn on Beach 123rd and doesn't clean up after dog,submitted,170 Beach 123rd St,"New York City, NY",11694,1484535837,0,1,1,40.577038,-73.842293,1,Anonymous
NA,915199,Litter,Dog owner at 170 Beach 123rd Street 11694 lets his dog crap on every neighbors lawn on Beach 123rd and doesn't clean up after dog,submitted,170 Beach 123rd St,"New York City, NY",11694,1484535834,0,1,1,40.577038,-73.842293,1,Anonymous
NA,915198,Litter,Dog owner at 170 Beach 123rd Street 11694 lets his dog crap on every neighbors lawn on Beach 123rd and doesn't clean up after dog,submitted,170 Beach 123rd St,"New York City, NY",11694,1484535828,0,1,1,40.577038,-73.842293,1,Anonymous
NA,915190,Pothole,There are several potholes on the Major Deegan Service ramp Exit 5 near the intersection of 153rd Street.,submitted,900–906 Exterior St,"New York City, NY",10451,1475330081,0,1,1,40.826007,-73.930758,1,1
