client_id,name,state
104,New York City,NY
128,Yorktown Heights,NY
130,Seattle,WA
131,Sacramento,CA
133,Springfield,IL
134,Kennesaw,GA
135,Acme,MI
138,Oceanside,CA
139,East Orange,NJ
141,Clermont,FL
144,High Point,NC
146,Bradenton,FL
149,Elk Grove,CA
150,Sparks,NV
155,Nashua,NH
156,Fontana,CA
157,Palm Bay,FL
160,Adair Village,OR
161,London Grove,PA
162,Plano,TX
163,Oakridge,OR
165,Cape Canaveral,FL
167,Long Beach,CA
169,Mount Rainier,MD
170,Ipswich,MA
174,Mahomet,IL
176,Springfield Township,NJ
177,Wellington,FL
178,Troy,TX
180,North Miami Beach,FL
181,Abbott,TX
187,Watervliet,NY
188,Irving,TX
189,Andrews,TX
190,Sudbury,MA
191,City of Rancho Cordova,CA
192,Cedar Park,TX
193,Decatur,IL
194,Waterloo,IA
195,Eden Prairie,MN
196,Laguna Niguel,CA
197,Chandler,AZ
198,Chula Vista,CA
199,La Porte,IN
200,Abbeville,AL
201,Winter Haven,FL
202,Dunedin,FL
204,Anderson,IN
205,Poway,CA
206,Calumet City,IL
207,Lemon Grove,CA
208,Watauga,TX
209,Torrance,CA
210,Elkton,KY
211,Westport,CT
213,Beaumont,TX
216,Greenville,TX
217,Allakaket,AK
218,Paramus,NJ
219,Big Spring,TX
221,Firestone,CO
222,Barnesville,MN
223,Corcoran,MN
224,Mineral Wells,TX
225,Monroe,LA
226,Redwood City,CA
227,Indian Trail,NC
228,Hyde Park,VT
229,Flower Mound,TX
230,North Port,FL
231,Gilroy,CA
232,Anchorage,AK
233,Edinburg,TX
234,Wheaton,IL
235,Taneytown,MD
236,Lake Elsinore,CA
237,College Park,GA
238,Lake Jackson,TX
239,Indio,CA
240,Reidsville,NC
241,San Ramon,CA
242,Philadelphia,PA
243,Vanceboro,NC
244,Daly City,CA
245,Wainwright,AK
247,Fairview,TX
248,Pago Pago,AS
249,Normandy Park,WA
250,Mount Vernon,MO
251,Moraine,OH
252,Eagle Pass,TX
254,New London,OH
255,San Diego,CA
256,Greenwich,NY
257,Saint Clair,MO
258,Cannon Falls,MN
259,Plainfield,NJ
260,Lake Station,IN
261,College Station,TX
262,Carbondale,IL
263,Simi Valley,CA
264,Hutto,TX
266,Cheyenne,WY
267,Spokane,WA
268,Piqua,OH
269,La Marque,TX
270,Hot Springs National Park,AR
271,Bloomfield Hills,MI
272,Perry,GA
274,Biggs,CA
275,Pea Ridge,AR
276,Fairborn,OH
277,Raton,NM
278,Whitehall,OH
279,Aliso Viejo,CA
280,Browning,MT
281,Fayetteville,GA
282,Antigo,WI
283,Surf City,NC
284,Taylorsville,UT
285,Gatesville,TX
286,Gary,IN
287,Little Rock,AR
288,Havre de Grace,MD
289,Eden,NY
290,Raymore,MO
291,Addison,TX
292,Casa Grande,AZ
293,Tucson,AZ
294,Durham,NC
295,Shavano Park,TX
297,Vista,CA
298,Waterbury,CT
299,Dallas,TX
300,Glenview,IL
301,El Campo,TX
302,Maryland Heights,MO
303,Carthage,TX
304,Weatherford,TX
305,Stallings,NC
306,Oberlin,OH
307,Leetonia,OH
308,Mobile,AL
309,Mishawaka,IN
310,Greensburg,KY
311,Commerce,GA
312,Carlsbad,CA
313,Ottawa,ON
314,Richmod Hill,ON
315,Las Vegas,NV
316,Three Lakes,WI
317,Encinitas,CA
318,Edenton,NC
319,Elgin,IL
320,Jenks,OK
327,Huntington,WV
339,Weston,WI
